!-----------------------------------------------------																				
!Lake Erie 2002-14																		
!Inflow	(Maumee	River)																		
!File prepared by LL																	
!-----------------------------------------------------																				
22	data	sets																			
0	seconds	between	data																		
2003280.500	59.09	11.40	0.068	28.560	0.000	10.925	0.092	0.007	0.045	0.038	0.020	3.07	0.608	0.260	2.000	0.200	4.341	0.100	0.720	0.140	0.020	0.020
2003281.500	53.54	15.30	0.068	26.690	0.000	10.003	0.086	0.006	0.044	0.038	0.020	3.07	0.593	0.254	2.000	0.200	4.239	0.100	0.720	0.140	0.020	0.020
2003282.500	50.81	15.60	0.068	24.470	0.000	9.937	0.068	0.005	0.048	0.043	0.020	3.02	0.593	0.254	2.000	0.200	4.237	0.100	0.720	0.140	0.020	0.020
2003287.833	48.90	13.70	0.068	27.894	0.000	10.363	0.045	0.003	0.055	0.052	0.020	2.98	0.589	0.253	2.000	0.200	4.211	0.100	0.720	0.140	0.020	0.020
2003288.500	119.61	9.90	0.068	36.674	0.000	11.320	0.089	0.006	0.057	0.050	0.020	3.40	0.668	0.286	2.000	0.200	4.772	0.100	0.720	0.140	0.020	0.020
2003289.500	225.26	11.10	0.068	46.081	0.000	11.002	0.066	0.005	0.073	0.068	0.020	4.60	0.857	0.367	2.000	0.200	6.120	0.100	0.720	0.140	0.020	0.020
2003290.500	288.70	9.90	0.068	50.040	0.000	11.320	0.152	0.011	0.084	0.073	0.020	2.92	0.574	0.246	2.000	0.200	4.100	0.100	0.720	0.140	0.020	0.020
2003291.500	219.55	10.60	0.068	41.164	0.000	11.133	0.139	0.010	0.078	0.068	0.020	4.28	0.784	0.336	2.000	0.200	5.600	0.100	0.720	0.140	0.020	0.020
2003292.500	169.10	9.90	0.068	40.046	0.000	11.320	0.187	0.013	0.072	0.058	0.020	4.23	0.807	0.346	2.000	0.200	5.762	0.100	0.720	0.140	0.020	0.020
2003293.167	137.37	11.90	0.068	28.880	0.000	10.799	0.190	0.014	0.060	0.046	0.020	4.07	0.775	0.332	2.000	0.200	5.537	0.100	0.720	0.140	0.020	0.020
2003293.500	132.83	11.00	0.068	30.782	0.000	11.028	0.214	0.015	0.045	0.029	0.020	4.19	0.753	0.323	2.000	0.200	5.375	0.100	0.720	0.140	0.020	0.020
2003294.500	109.50	15.20	0.068	33.130	0.000	10.025	0.187	0.013	0.055	0.042	0.020	4.35	0.791	0.339	2.000	0.200	5.653	0.100	0.720	0.140	0.020	0.020
2003295.500	92.79	8.60	0.068	30.075	0.000	11.682	0.163	0.012	0.049	0.037	0.020	4.29	0.770	0.330	2.000	0.200	5.501	0.100	0.720	0.140	0.020	0.020
2003296.500	71.15	5.10	0.068	22.607	0.000	12.752	0.157	0.011	0.048	0.037	0.020	4.46	0.787	0.337	2.000	0.200	5.625	0.100	0.720	0.140	0.020	0.020
2003297.500	54.90	7.90	0.068	19.438	0.000	11.884	0.156	0.011	0.044	0.033	0.020	4.40	0.767	0.329	2.000	0.200	5.481	0.100	0.720	0.140	0.020	0.020
2003298.500	48.90	10.60	0.068	22.096	0.000	11.133	0.150	0.011	0.046	0.035	0.020	4.30	0.748	0.321	2.000	0.200	5.343	0.100	0.720	0.140	0.020	0.020
2003299.500	61.29	9.40	0.068	22.359	0.000	11.457	0.145	0.010	0.038	0.027	0.020	4.22	0.745	0.319	2.000	0.200	5.322	0.100	0.720	0.140	0.020	0.020
2003300.167	67.27	9.20	0.068	17.217	0.000	11.512	0.142	0.010	0.038	0.027	0.020	3.99	0.716	0.307	2.000	0.200	5.115	0.100	0.720	0.140	0.020	0.020
2003300.500	71.92	7.90	0.068	20.188	0.000	11.884	0.156	0.011	0.035	0.024	0.020	4.15	0.754	0.323	2.000	0.200	5.384	0.100	0.720	0.140	0.020	0.020
2003301.167	57.63	7.80	0.068	18.464	0.000	11.914	0.135	0.010	0.037	0.028	0.020	4.19	0.757	0.324	2.000	0.200	5.406	0.100	0.720	0.140	0.020	0.020
2003302.500	71.15	8.60	0.068	20.768	0.000	11.682	0.119	0.009	0.036	0.028	0.020	4.57	0.811	0.348	2.000	0.200	5.792	0.100	0.720	0.140	0.020	0.020
2003303.500	71.92	9.00	0.068	17.933	0.000	11.569	0.108	0.008	0.033	0.025	0.020	4.34	0.761	0.326	2.000	0.200	5.437	0.100	0.720	0.140	0.020	0.020
2003304.500	64.21	15.10	0.068	33.856	0.000	10.047	0.095	0.007	0.041	0.034	0.020	4.28	0.733	0.314	2.000	0.200	5.233	0.100	0.720	0.140	0.020	0.020
2003305.500	58.36	12.10	0.068	22.259	0.000	10.749	0.105	0.008	0.035	0.028	0.020	3.95	0.691	0.296	2.000	0.200	4.935	0.100	0.720	0.140	0.020	0.020
2003306.500	69.60	13.40	0.068	19.607	0.000	10.434	0.117	0.008	0.034	0.026	0.020	3.83	0.686	0.294	2.000	0.200	4.900	0.100	0.720	0.140	0.020	0.020
2003307.167	63.48	13.41	0.068	19.700	0.000	10.432	0.086	0.006	0.035	0.028	0.020	3.77	0.667	0.286	2.000	0.200	4.762	0.100	0.720	0.140	0.020	0.020
2003307.500	61.29	11.90	0.068	21.662	0.000	10.799	0.085	0.006	0.023	0.017	0.020	3.68	0.670	0.287	2.000	0.200	4.783	0.100	0.720	0.140	0.020	0.020
2003308.500	59.09	11.30	0.068	33.053	0.000	10.951	0.059	0.004	0.039	0.034	0.020	3.47	0.645	0.277	2.000	0.200	4.610	0.100	0.720	0.140	0.020	0.020
2003309.500	52.17	14.90	0.068	23.240	0.000	10.091	0.073	0.005	0.026	0.021	0.020	3.34	0.606	0.260	2.000	0.200	4.325	0.100	0.720	0.140	0.020	0.020
2003310.500	45.10	8.20	0.068	17.739	0.000	11.797	0.078	0.006	0.023	0.018	0.020	3.41	0.616	0.264	2.000	0.200	4.400	0.100	0.720	0.140	0.020	0.020
2003311.500	41.50	5.10	0.068	16.117	0.000	12.752	0.075	0.005	0.023	0.018	0.020	3.24	0.586	0.251	2.000	0.200	4.188	0.100	0.720	0.140	0.020	0.020
2003312.500	40.32	0.10	0.068	14.632	0.000	14.551	0.063	0.005	0.026	0.021	0.020	3.06	0.553	0.237	2.000	0.200	3.948	0.100	0.720	0.140	0.020	0.020
2003313.500	39.73	2.40	0.068	11.381	0.000	13.681	0.061	0.004	0.026	0.022	0.020	2.98	0.549	0.235	2.000	0.200	3.919	0.100	0.720	0.140	0.020	0.020
2003314.167	38.00	5.00	0.068	12.000	0.000	12.785	0.056	0.004	0.029	0.025	0.020	2.87	0.532	0.228	2.000	0.200	3.798	0.100	0.720	0.140	0.020	0.020
2003314.500	38.54	4.70	0.068	7.933	0.000	12.884	0.023	0.002	0.039	0.038	0.020	2.85	0.516	0.221	2.000	0.200	3.689	0.100	0.720	0.140	0.020	0.020
2003315.500	46.37	10.60	0.068	15.665	0.000	11.133	0.046	0.003	0.036	0.033	0.020	2.98	0.538	0.230	2.000	0.200	3.841	0.100	0.720	0.140	0.020	0.020
2003316.500	40.91	11.00	0.068	19.278	0.000	11.028	0.058	0.004	0.036	0.032	0.020	3.04	0.559	0.240	2.000	0.200	3.995	0.100	0.720	0.140	0.020	0.020
2003317.500	52.17	4.20	0.068	29.284	0.000	13.051	0.059	0.004	0.041	0.037	0.020	2.95	0.531	0.228	2.000	0.200	3.793	0.100	0.720	0.140	0.020	0.020
2003318.500	38.00	3.10	0.068	23.655	0.000	13.431	0.057	0.004	0.039	0.035	0.020	2.94	0.529	0.227	2.000	0.200	3.777	0.100	0.720	0.140	0.020	0.020
2003319.500	30.61	6.20	0.068	16.666	0.000	12.400	0.051	0.004	0.032	0.028	0.020	2.84	0.507	0.217	2.000	0.200	3.625	0.100	0.720	0.140	0.020	0.020
2003320.500	46.37	6.80	0.068	11.100	0.000	12.214	0.045	0.003	0.030	0.026	0.020	2.90	0.526	0.225	2.000	0.200	3.757	0.100	0.720	0.140	0.020	0.020
2003321.167	53.54	7.80	0.068	11.800	0.000	11.914	0.049	0.004	0.029	0.026	0.020	2.81	0.514	0.220	2.000	0.200	3.672	0.100	0.720	0.140	0.020	0.020
2003321.500	52.85	7.50	0.068	10.534	0.000	12.003	0.037	0.003	0.036	0.033	0.020	2.73	0.481	0.206	2.000	0.200	3.438	0.100	0.720	0.140	0.020	0.020
2003322.500	50.81	9.90	0.068	13.586	0.000	11.320	0.032	0.002	0.036	0.034	0.020	2.75	0.477	0.205	2.000	0.200	3.409	0.100	0.720	0.140	0.020	0.020
2003323.500	93.56	9.80	0.068	19.132	0.000	11.347	0.040	0.003	0.037	0.034	0.020	2.68	0.469	0.201	2.000	0.200	3.352	0.100	0.720	0.140	0.020	0.020
2003324.500	203.91	6.80	0.068	31.873	0.000	12.214	0.034	0.002	0.052	0.050	0.020	2.52	0.470	0.201	2.000	0.200	3.358	0.100	0.720	0.140	0.020	0.020
2003325.500	191.99	9.10	0.068	24.713	0.000	11.541	0.035	0.002	0.048	0.046	0.020	2.76	0.491	0.211	2.000	0.200	3.509	0.100	0.720	0.140	0.020	0.020
2003325.833	181.43	9.50	0.068	34.887	0.000	11.429	0.073	0.005	0.074	0.069	0.020	2.80	0.555	0.238	2.000	0.200	3.967	0.100	0.720	0.140	0.020	0.020
2003326.167	180.38	8.70	0.068	33.056	0.000	11.654	0.097	0.007	0.067	0.060	0.020	2.99	0.572	0.245	2.000	0.200	4.089	0.100	0.720	0.140	0.020	0.020
2003326.500	239.26	9.40	0.068	39.192	0.000	11.457	0.093	0.007	0.073	0.066	0.020	6.01	0.997	0.427	2.000	0.200	7.119	0.100	0.720	0.140	0.020	0.020
2003327.500	139.19	11.80	0.068	27.720	0.000	10.824	0.091	0.007	0.056	0.050	0.020	4.36	0.757	0.324	2.000	0.200	5.404	0.100	0.720	0.140	0.020	0.020
2003328.500	140.10	10.20	0.068	48.500	0.000	11.239	0.074	0.005	0.066	0.061	0.020	3.64	0.655	0.281	2.000	0.200	4.676	0.100	0.720	0.140	0.020	0.020
2003328.833	157.23	0.10	0.068	51.447	0.000	14.550	0.100	0.007	0.054	0.047	0.020	4.24	0.773	0.331	2.000	0.200	5.520	0.100	0.720	0.140	0.020	0.020
2003329.833	191.99	3.30	0.068	26.977	0.000	13.360	0.090	0.007	0.048	0.042	0.020	4.68	0.827	0.354	2.000	0.200	5.908	0.100	0.720	0.140	0.020	0.020
2003330.833	211.64	6.21	0.068	22.677	0.000	12.398	0.094	0.007	0.048	0.041	0.020	4.64	0.818	0.351	2.000	0.200	5.845	0.100	0.720	0.140	0.020	0.020
2003331.833	172.17	6.70	0.068	27.147	0.000	12.244	0.096	0.007	0.047	0.040	0.020	4.30	0.766	0.328	2.000	0.200	5.473	0.100	0.720	0.140	0.020	0.020
2003332.833	336.73	3.90	0.068	100.000	0.000	13.153	0.105	0.008	0.092	0.085	0.020	6.69	1.161	0.498	2.000	0.200	8.293	0.100	0.720	0.140	0.020	0.020
2003333.833	491.25	3.19	0.068	96.543	0.000	13.398	0.100	0.007	0.099	0.092	0.020	6.95	1.197	0.513	2.000	0.200	8.554	0.100	0.720	0.140	0.020	0.020
2003334.167	512.74	2.60	0.068	129.610	0.000	13.610	0.109	0.008	0.134	0.126	0.020	6.44	1.130	0.484	2.000	0.200	8.074	0.100	0.720	0.140	0.020	0.020
2003334.500	514.42	5.10	0.068	172.920	0.000	12.752	0.134	0.010	0.157	0.148	0.020	6.56	1.196	0.512	2.000	0.200	8.540	0.100	0.720	0.140	0.020	0.020
2003334.833	512.74	7.10	0.068	180.630	0.000	12.123	0.122	0.009	0.165	0.157	0.020	6.54	1.202	0.515	2.000	0.200	8.588	0.100	0.720	0.140	0.020	0.020
2003335.167	501.10	8.10	0.068	153.510	0.000	11.825	0.131	0.009	0.145	0.135	0.020	6.34	1.155	0.495	2.000	0.200	8.249	0.100	0.720	0.140	0.020	0.020
2003335.500	487.96	4.50	0.068	146.210	0.000	12.950	0.116	0.008	0.157	0.149	0.020	6.05	1.070	0.459	2.000	0.200	7.646	0.100	0.720	0.140	0.020	0.020
2003335.833	427.36	4.60	0.068	133.520	0.000	12.916	0.125	0.009	0.150	0.141	0.020	5.83	1.026	0.440	2.000	0.200	7.328	0.100	0.720	0.140	0.020	0.020
2003336.167	388.33	2.40	0.068	108.700	0.000	13.680	0.128	0.009	0.140	0.131	0.020	5.79	1.022	0.438	2.000	0.200	7.300	0.100	0.720	0.140	0.020	0.020
2003336.500	365.05	0.30	0.068	106.820	0.000	14.472	0.148	0.011	0.123	0.113	0.020	5.76	1.029	0.441	2.000	0.200	7.354	0.100	0.720	0.140	0.020	0.020
2003336.833	278.44	0.50	0.068	68.503	0.000	14.393	0.143	0.010	0.111	0.101	0.020	5.85	1.006	0.431	2.000	0.200	7.187	0.100	0.720	0.140	0.020	0.020
2003337.167	209.43	0.50	0.068	48.539	0.000	14.394	0.142	0.010	0.093	0.083	0.020	5.93	0.996	0.427	2.000	0.200	7.113	0.100	0.720	0.140	0.020	0.020
2003337.500	256.06	0.80	0.068	44.878	0.000	14.278	0.150	0.011	0.089	0.078	0.020	5.88	0.991	0.425	2.000	0.200	7.075	0.100	0.720	0.140	0.020	0.020
2003338.500	217.29	3.40	0.068	37.420	0.000	13.326	0.139	0.010	0.068	0.058	0.020	5.92	0.988	0.423	2.000	0.200	7.058	0.100	0.720	0.140	0.020	0.020
2003339.500	138.28	2.50	0.068	42.515	0.000	13.645	0.127	0.009	0.071	0.062	0.020	6.00	1.032	0.442	2.000	0.200	7.371	0.100	0.720	0.140	0.020	0.020
2003340.500	134.65	0.10	0.068	24.603	0.000	14.551	0.119	0.009	0.058	0.049	0.020	5.93	0.990	0.424	2.000	0.200	7.070	0.100	0.720	0.140	0.020	0.020
2003340.833	121.32	1.20	0.068	24.603	0.000	14.125	0.119	0.009	0.058	0.049	0.020	5.93	0.990	0.424	2.000	0.200	7.070	0.100	0.720	0.140	0.020	0.020
2003341.500	121.32	0.10	0.068	19.918	0.000	14.551	0.110	0.008	0.049	0.041	0.020	5.83	0.972	0.417	2.000	0.200	6.942	0.100	0.720	0.140	0.020	0.020
2003342.167	112.80	0.10	0.068	18.448	0.000	14.551	0.107	0.008	0.050	0.042	0.020	5.83	0.966	0.414	2.000	0.200	6.900	0.100	0.720	0.140	0.020	0.020
2003342.500	111.15	0.10	0.068	20.694	0.000	14.551	0.108	0.008	0.046	0.038	0.020	5.81	0.937	0.402	2.000	0.200	6.696	0.100	0.720	0.140	0.020	0.020
2003343.500	111.15	0.10	0.068	16.926	0.000	14.551	0.105	0.008	0.041	0.034	0.020	5.77	0.942	0.404	2.000	0.200	6.730	0.100	0.720	0.140	0.020	0.020
2003345.500	649.45	0.10	0.068	117.700	0.000	14.551	0.088	0.006	0.115	0.108	0.020	6.62	1.127	0.483	2.000	0.200	8.051	0.100	0.720	0.140	0.020	0.020
2003345.833	683.38	0.10	0.068	146.870	0.000	14.551	0.099	0.007	0.132	0.125	0.020	6.17	1.064	0.456	2.000	0.200	7.603	0.100	0.720	0.140	0.020	0.020
2003346.167	700.71	0.10	0.068	176.390	0.000	14.551	0.122	0.009	0.153	0.144	0.020	6.22	1.103	0.473	2.000	0.200	7.879	0.100	0.720	0.140	0.020	0.020
2003346.500	675.79	0.10	0.068	176.710	0.000	14.551	0.128	0.009	0.163	0.154	0.020	6.18	1.060	0.454	2.000	0.200	7.573	0.100	0.720	0.140	0.020	0.020
2003346.833	619.77	0.10	0.068	146.730	0.000	14.551	0.123	0.009	0.159	0.151	0.020	6.04	1.085	0.465	2.000	0.200	7.750	0.100	0.720	0.140	0.020	0.020
2003358.500	712.40	0.23	0.068	161.610	0.000	14.499	0.131	0.009	0.169	0.160	0.020	5.06	0.925	0.397	2.000	0.200	6.611	0.100	0.720	0.140	0.020	0.020
2003359.167	846.36	0.10	0.068	121.580	0.000	14.551	0.137	0.010	0.149	0.139	0.020	5.28	0.931	0.399	2.000	0.200	6.651	0.100	0.720	0.140	0.020	0.020
2003359.833	790.37	0.10	0.068	83.457	0.000	14.551	0.142	0.010	0.132	0.122	0.020	5.52	0.976	0.418	2.000	0.200	6.970	0.100	0.720	0.140	0.020	0.020
2003360.500	681.48	0.10	0.068	77.540	0.000	14.551	0.133	0.010	0.120	0.111	0.020	5.70	0.975	0.418	2.000	0.200	6.962	0.100	0.720	0.140	0.020	0.020
2003361.167	538.37	0.10	0.068	66.133	0.000	14.551	0.113	0.008	0.106	0.098	0.020	5.84	0.993	0.426	2.000	0.200	7.095	0.100	0.720	0.140	0.020	0.020
2003361.833	380.97	0.10	0.068	61.377	0.000	14.551	0.145	0.010	0.084	0.073	0.020	5.87	0.998	0.428	2.000	0.200	7.129	0.100	0.720	0.140	0.020	0.020
2003362.500	308.24	0.10	0.068	96.482	0.000	14.551	0.105	0.008	0.133	0.125	0.020	6.59	1.113	0.477	2.000	0.200	7.947	0.100	0.720	0.140	0.020	0.020
2003363.167	286.09	2.21	0.068	96.826	0.000	13.750	0.108	0.008	0.137	0.129	0.020	6.24	1.067	0.457	2.000	0.200	7.622	0.100	0.720	0.140	0.020	0.020
2003363.833	252.42	2.32	0.068	64.475	0.000	13.712	0.101	0.007	0.096	0.089	0.020	5.97	0.999	0.428	2.000	0.200	7.136	0.100	0.720	0.140	0.020	0.020
2003364.500	331.29	0.10	0.068	74.511	0.000	14.551	0.085	0.006	0.109	0.103	0.020	5.74	0.955	0.409	2.000	0.200	6.822	0.100	0.720	0.140	0.020	0.020
2003365.167	430.47	0.10	0.068	66.924	0.000	14.551	0.076	0.005	0.104	0.098	0.020	5.69	0.975	0.418	2.000	0.200	6.967	0.100	0.720	0.140	0.020	0.020
2003365.833	388.33	2.99	0.068	65.362	0.000	13.471	0.072	0.005	0.090	0.085	0.020	5.76	0.982	0.421	2.000	0.200	7.012	0.100	0.720	0.140	0.020	0.020
2004001.500	386.86	0.10	0.068	51.263	0.000	14.551	0.070	0.005	0.082	0.076	0.020	5.69	0.963	0.413	2.000	0.200	6.881	0.100	0.720	0.140	0.020	0.020
2004002.167	319.06	2.13	0.068	49.658	0.000	13.780	0.072	0.005	0.091	0.086	0.020	5.42	0.928	0.398	2.000	0.200	6.627	0.100	0.720	0.140	0.020	0.020
2004002.833	238.07	3.29	0.068	60.600	0.000	13.365	0.075	0.005	0.092	0.087	0.020	5.43	0.937	0.401	2.000	0.200	6.690	0.100	0.720	0.140	0.020	0.020
2004005.417	439.82	0.10	0.068	56.269	0.000	14.551	0.104	0.007	0.126	0.118	0.020	4.87	0.900	0.386	2.000	0.200	6.431	0.100	0.720	0.140	0.020	0.020
2004005.833	683.38	0.10	0.068	169.110	0.000	14.551	0.095	0.007	0.140	0.133	0.020	5.91	1.091	0.468	2.000	0.200	7.796	0.100	0.720	0.140	0.020	0.020
2004011.833	155.30	0.10	0.068	61.555	0.000	14.551	0.108	0.008	0.145	0.137	0.020	4.95	0.945	0.405	2.000	0.200	6.748	0.100	0.720	0.140	0.020	0.020
2004012.500	155.30	0.10	0.068	70.000	0.000	14.551	0.116	0.008	0.118	0.109	0.020	4.60	0.805	0.345	2.000	0.200	5.753	0.100	0.720	0.140	0.020	0.020
2004013.500	128.36	0.10	0.068	67.886	0.000	14.551	0.119	0.009	0.103	0.094	0.020	4.60	0.784	0.336	2.000	0.200	5.599	0.100	0.720	0.140	0.020	0.020
2004014.500	101.39	0.10	0.068	53.564	0.000	14.551	0.126	0.009	0.236	0.227	0.020	4.68	0.827	0.354	2.000	0.200	5.907	0.100	0.720	0.140	0.020	0.020
2004015.500	103.78	0.10	0.068	45.090	0.000	14.551	0.129	0.009	0.071	0.062	0.020	4.50	0.769	0.330	2.000	0.200	5.495	0.100	0.720	0.140	0.020	0.020
2004016.500	111.97	0.10	0.068	29.489	0.000	14.551	0.122	0.009	0.055	0.046	0.020	4.97	0.833	0.357	2.000	0.200	5.952	0.100	0.720	0.140	0.020	0.020
2004017.500	92.02	0.10	0.068	19.216	0.000	14.551	0.118	0.009	0.043	0.034	0.020	5.03	0.839	0.360	2.000	0.200	5.992	0.100	0.720	0.140	0.020	0.020
2004018.500	60.56	0.10	0.068	17.116	0.000	14.551	0.113	0.008	0.032	0.024	0.020	5.07	0.840	0.360	2.000	0.200	5.999	0.100	0.720	0.140	0.020	0.020
2004019.500	88.84	0.10	0.068	11.978	0.000	14.551	0.111	0.008	0.024	0.016	0.020	5.12	0.842	0.361	2.000	0.200	6.013	0.100	0.720	0.140	0.020	0.020
2004020.167	72.70	0.10	0.068	10.019	0.000	14.551	0.120	0.009	0.014	0.005	0.020	5.27	0.850	0.364	2.000	0.200	6.074	0.100	0.720	0.140	0.020	0.020
2004020.833	56.95	0.10	0.068	10.667	0.000	14.551	0.115	0.008	0.012	0.004	0.020	5.33	0.849	0.364	2.000	0.200	6.064	0.100	0.720	0.140	0.020	0.020
2004021.833	50.17	0.10	0.068	7.835	0.000	14.551	0.116	0.008	0.008	0.000	0.020	5.31	0.855	0.366	2.000	0.200	6.104	0.100	0.720	0.140	0.020	0.020
2004022.833	31.61	0.10	0.068	7.774	0.000	14.551	0.106	0.008	0.009	0.001	0.020	5.31	0.859	0.368	2.000	0.200	6.133	0.100	0.720	0.140	0.020	0.020
2004023.833	33.65	0.10	0.068	5.929	0.000	14.551	0.101	0.007	0.007	0.000	0.020	5.47	0.878	0.376	2.000	0.200	6.271	0.100	0.720	0.140	0.020	0.020
2004024.833	35.83	0.10	0.068	6.024	0.000	14.551	0.100	0.007	0.005	0.000	0.020	5.41	0.871	0.373	2.000	0.200	6.222	0.100	0.720	0.140	0.020	0.020
2004025.833	27.21	0.10	0.068	4.995	0.000	14.551	0.096	0.007	0.004	0.000	0.020	5.20	0.830	0.356	2.000	0.200	5.927	0.100	0.720	0.140	0.020	0.020
2004026.833	40.32	0.10	0.068	4.057	0.000	14.551	0.090	0.006	0.004	0.000	0.020	5.06	0.819	0.351	2.000	0.200	5.853	0.100	0.720	0.140	0.020	0.020
2004027.833	44.46	0.10	0.068	4.633	0.000	14.551	0.091	0.007	0.004	0.000	0.020	5.09	0.812	0.348	2.000	0.200	5.804	0.100	0.720	0.140	0.020	0.020
2004028.167	42.10	0.10	0.068	3.590	0.000	14.551	0.088	0.006	0.005	0.000	0.020	5.04	0.806	0.345	2.000	0.200	5.757	0.100	0.720	0.140	0.020	0.020
2004034.833	136.47	0.69	0.068	22.240	0.000	14.321	0.059	0.004	0.037	0.033	0.020	4.18	0.724	0.310	2.000	0.200	5.170	0.100	0.720	0.140	0.020	0.020
2004035.833	184.58	0.10	0.068	4.531	0.000	14.551	0.062	0.004	0.017	0.013	0.020	4.17	0.704	0.302	2.000	0.200	5.031	0.100	0.720	0.140	0.020	0.020
2004036.833	131.01	0.09	0.068	2.666	0.000	14.554	0.064	0.005	0.016	0.011	0.020	4.23	0.710	0.304	2.000	0.200	5.072	0.100	0.720	0.140	0.020	0.020
2004037.833	71.92	0.90	0.068	2.186	0.000	14.240	0.060	0.004	0.017	0.012	0.020	4.17	0.694	0.297	2.000	0.200	4.957	0.100	0.720	0.140	0.020	0.020
2004038.167	71.92	0.10	0.068	1.280	0.000	14.551	0.062	0.004	0.013	0.009	0.020	4.16	0.689	0.295	2.000	0.200	4.918	0.100	0.720	0.140	0.020	0.020
2004040.500	65.72	0.10	0.068	3.370	0.000	14.551	0.050	0.004	0.022	0.018	0.020	4.36	0.747	0.320	2.000	0.200	5.335	0.100	0.720	0.140	0.020	0.020
2004041.500	53.54	0.10	0.068	3.030	0.000	14.551	0.051	0.004	0.021	0.017	0.020	4.28	0.716	0.307	2.000	0.200	5.115	0.100	0.720	0.140	0.020	0.020
2004042.500	62.75	0.10	0.068	5.416	0.000	14.551	0.054	0.004	0.023	0.019	0.020	4.30	0.727	0.312	2.000	0.200	5.194	0.100	0.720	0.140	0.020	0.020
2004043.500	34.19	0.10	0.068	5.101	0.000	14.551	0.051	0.004	0.028	0.024	0.020	4.48	0.788	0.338	2.000	0.200	5.628	0.100	0.720	0.140	0.020	0.020
2004044.500	35.28	0.10	0.068	3.635	0.000	14.551	0.048	0.003	0.028	0.024	0.020	4.47	0.813	0.349	2.000	0.200	5.809	0.100	0.720	0.140	0.020	0.020
2004045.500	45.10	0.10	0.068	4.903	0.000	14.551	0.042	0.003	0.028	0.025	0.020	4.19	0.718	0.308	2.000	0.200	5.126	0.100	0.720	0.140	0.020	0.020
2004046.500	33.65	0.10	0.068	4.474	0.000	14.551	0.033	0.002	0.032	0.030	0.020	3.63	0.639	0.274	2.000	0.200	4.567	0.100	0.720	0.140	0.020	0.020
2004047.167	35.83	0.10	0.068	4.971	0.000	14.551	0.037	0.003	0.034	0.032	0.020	3.72	0.666	0.285	2.000	0.200	4.754	0.100	0.720	0.140	0.020	0.020
2004047.500	39.14	0.10	0.068	2.978	0.000	14.551	0.061	0.004	0.018	0.014	0.020	3.83	0.680	0.291	2.000	0.200	4.856	0.100	0.720	0.140	0.020	0.020
2004048.500	34.19	0.10	0.068	3.518	0.000	14.551	0.055	0.004	0.021	0.017	0.020	4.07	0.712	0.305	2.000	0.200	5.082	0.100	0.720	0.140	0.020	0.020
2004049.500	36.91	0.10	0.068	4.032	0.000	14.551	0.055	0.004	0.020	0.016	0.020	3.81	0.655	0.281	2.000	0.200	4.678	0.100	0.720	0.140	0.020	0.020
2004050.500	36.91	0.10	0.068	6.853	0.000	14.551	0.047	0.003	0.025	0.022	0.020	3.95	0.676	0.290	2.000	0.200	4.828	0.100	0.720	0.140	0.020	0.020
2004051.500	38.54	1.14	0.068	9.302	0.000	14.148	0.111	0.008	0.028	0.020	0.020	3.76	0.675	0.289	2.000	0.200	4.818	0.100	0.720	0.140	0.020	0.020
2004052.500	101.39	0.56	0.068	19.661	0.000	14.371	0.085	0.006	0.033	0.027	0.020	3.41	0.648	0.278	2.000	0.200	4.630	0.100	0.720	0.140	0.020	0.020
2004053.500	288.70	0.10	0.068	44.839	0.000	14.551	0.155	0.011	0.057	0.046	0.020	3.29	0.684	0.293	2.000	0.200	4.883	0.100	0.720	0.140	0.020	0.020
2004054.167	363.61	0.71	0.068	45.780	0.000	14.313	0.152	0.011	0.076	0.065	0.020	3.05	0.664	0.285	2.000	0.200	4.743	0.100	0.720	0.140	0.020	0.020
2004054.500	394.22	0.09	0.068	78.504	0.000	14.554	0.213	0.015	0.325	0.310	0.020	3.13	0.651	0.279	2.000	0.200	4.653	0.100	0.720	0.140	0.020	0.020
2004054.833	395.72	0.15	0.068	81.033	0.000	14.531	0.228	0.016	0.356	0.339	0.020	2.71	0.651	0.279	2.000	0.200	4.653	0.100	0.720	0.140	0.020	0.020
2004055.167	395.72	0.10	0.068	66.737	0.000	14.552	0.212	0.015	0.314	0.299	0.020	2.79	0.700	0.300	2.000	0.200	5.000	0.100	0.720	0.140	0.020	0.020
2004055.500	395.72	0.10	0.068	57.876	0.000	14.551	0.198	0.014	0.292	0.278	0.020	3.36	0.700	0.300	2.000	0.200	5.000	0.100	0.720	0.140	0.020	0.020
2004056.500	352.05	0.10	0.068	51.960	0.000	14.551	0.229	0.016	0.088	0.071	0.020	2.76	0.662	0.284	2.000	0.200	4.732	0.100	0.720	0.140	0.020	0.020
2004057.500	293.91	0.10	0.068	44.492	0.000	14.551	0.216	0.016	0.083	0.067	0.020	2.82	0.608	0.260	2.000	0.200	4.340	0.100	0.720	0.140	0.020	0.020
2004058.500	247.57	0.10	0.068	32.053	0.000	14.551	0.194	0.014	0.069	0.055	0.020	3.41	0.667	0.286	2.000	0.200	4.763	0.100	0.720	0.140	0.020	0.020
2004059.500	262.19	0.10	0.068	26.617	0.000	14.551	0.170	0.012	0.061	0.048	0.020	3.23	0.628	0.269	2.000	0.200	4.482	0.100	0.720	0.140	0.020	0.020
