ISOTime,Flow
23/11/2089 00:00:00,4861.20000
24/11/2089 00:00:00,4909.50000
25/11/2089 00:00:00,4979.70000
26/11/2089 00:00:00,4909.10000
27/11/2089 00:00:00,4836.60000
28/11/2089 00:00:00,5163.60000
29/11/2089 00:00:00,4845.00000
30/11/2089 00:00:00,4915.80000
01/12/2089 00:00:00,4957.20000
02/12/2089 00:00:00,4948.50000
03/12/2089 00:00:00,4921.60000
04/12/2089 00:00:00,5211.80000
05/12/2089 00:00:00,5221.40000
06/12/2089 00:00:00,5094.80000
07/12/2089 00:00:00,4938.50000
08/12/2089 00:00:00,5053.00000
09/12/2089 00:00:00,4916.10000
10/12/2089 00:00:00,4603.90000
11/12/2089 00:00:00,5341.30000
12/12/2089 00:00:00,5160.40000
13/12/2089 00:00:00,4797.20000
14/12/2089 00:00:00,4964.40000
15/12/2089 00:00:00,4895.70000
16/12/2089 00:00:00,5105.30000
17/12/2089 00:00:00,4961.90000
18/12/2089 00:00:00,4996.60000
19/12/2089 00:00:00,4744.50000
20/12/2089 00:00:00,4806.00000
21/12/2089 00:00:00,4865.60000
22/12/2089 00:00:00,4921.20000
23/12/2089 00:00:00,4890.70000
24/12/2089 00:00:00,4833.10000
25/12/2089 00:00:00,4705.20000
26/12/2089 00:00:00,4618.20000
27/12/2089 00:00:00,4963.10000
28/12/2089 00:00:00,5204.70000
29/12/2089 00:00:00,5473.70000
30/12/2089 00:00:00,5185.50000
31/12/2089 00:00:00,4787.90000
01/01/2090 00:00:00,4967.60000
02/01/2090 00:00:00,5188.60000
03/01/2090 00:00:00,4660.40000
